HUMS.Healthy',HUMS.Unhealthy',BMRQ.Social_Reward',BMRQ.Musical_Seeking',BMRQ.Mood_Regulation',BMRQ.Sensory_Motor',BMRQ.Emotional_Evocation',IRI.Perspective_Taking',IRI.Fantasy',IRI.Empathic_Concern',IRI.Personal_Distress',EC.Happiness',EC.Love',EC.Fear',EC.Anger',EC.Sadness',P.Extraversion',P.Agreeableness',P.Conscientiousness',P.Neuroticism',P.Openness'
18,11,8,12,16,16,16,26,19,30,23,9,9,10,7,9,23,35,33,24,37
13,8,10,9,10,9,8,20,23,20,19,9,8,8,7,8,17,35,32,19,31
17,20,12,14,16,16,13,25,27,23,23,9,9,10,8,8,21,31,27,25,35
15,23,14,16,12,14,18,22,18,22,28,6,8,8,8,8,13,19,18,40,40
18,9,14,11,16,9,19,25,24,26,8,11,12,7,6,5,24,42,42,21,27
17,22,12,11,15,9,10,22,23,21,20,7,7,7,8,7,21,23,27,22,37
16,18,10,11,16,7,16,21,24,30,15,10,9,8,10,7,22,33,24,20,32
19,9,14,15,16,11,7,20,23,29,22,11,12,10,10,7,14,34,31,29,32
9,13,7,9,8,10,8,16,15,19,18,8,8,10,9,9,23,23,27,26,25
20,12,14,14,17,17,6,19,15,23,23,9,7,7,6,6,19,31,30,28,38
21,21,14,14,17,18,14,29,24,31,20,9,4,9,5,8,23,29,31,30,38
18,14,14,12,19,14,19,29,27,33,16,9,11,10,8,10,31,39,35,20,36
24,17,18,19,20,14,18,29,32,32,15,11,10,9,7,11,37,45,44,11,33
17,15,17,14,17,19,16,24,27,27,18,10,7,8,7,9,24,40,31,28,39
16,15,11,12,14,12,13,19,22,27,20,9,8,10,8,7,22,34,39,18,36
20,21,15,16,16,11,15,23,23,26,22,9,11,8,9,7,19,33,32,29,39
20,12,15,16,16,16,15,23,31,28,19,11,5,10,8,10,20,38,30,21,41
22,23,13,15,17,12,14,20,22,23,23,9,7,10,7,7,24,29,30,28,37
18,9,8,15,13,11,6,24,16,29,16,11,7,7,10,6,31,38,29,18,33
19,12,15,13,18,18,15,27,23,32,11,11,9,9,6,10,26,45,29,22,42
